setting,n_chains_mean,n_chains_std,n_chains_sem,n_chains_count,K_mean,K_std,K_sem,K_count,n_nodes_mean,n_nodes_std,n_nodes_sem,n_nodes_count,rel_exposure_err_max_mean,rel_exposure_err_max_std,rel_exposure_err_max_sem,rel_exposure_err_max_count,act_tv_median_mean_mean,act_tv_median_mean_std,act_tv_median_mean_sem,act_tv_median_mean_count,sig_tv_mean_mean_mean,sig_tv_mean_mean_std,sig_tv_mean_mean_sem,sig_tv_mean_mean_count,act_hellinger_median_mean_mean,act_hellinger_median_mean_std,act_hellinger_median_mean_sem,act_hellinger_median_mean_count,sig_hellinger_mean_mean_mean,sig_hellinger_mean_mean_std,sig_hellinger_mean_mean_sem,sig_hellinger_mean_mean_count,act_cosine_median_mean_mean,act_cosine_median_mean_std,act_cosine_median_mean_sem,act_cosine_median_mean_count,sig_cosine_mean_mean_mean,sig_cosine_mean_mean_std,sig_cosine_mean_mean_sem,sig_cosine_mean_mean_count
5,8.0,0.0,0.0,15,10.0,0.0,0.0,15,37.46666666666667,3.335237551331168,0.861154632796748,15,14399048962.783161,55767274470.51194,14399048352.511387,15,0.09768182494347842,0.012825021568912702,0.003311406330076654,15,0.19269528745508216,0.025226770736673725,0.00651352419611533,15,0.1800604618901083,0.016720191653701033,0.004317134921345357,15,0.18380955679936065,0.020404211267149613,0.005268344695344546,15,0.992554877009744,0.002915133974722966,0.0007526843557376985,15,0.898568387189906,0.03021894531806889,0.00780249813045556,15
10,8.0,0.0,0.0,15,10.0,0.0,0.0,15,80.13333333333334,3.502380143083653,0.9043106644167025,15,109496.44905263656,420185.6202089891,108491.46062568329,15,0.08346732320648845,0.00877712020689547,0.0022662426925977837,15,0.14071385592228017,0.025973918019328166,0.006706436794974314,15,0.15541225653658272,0.009191542092587771,0.0023732459633704606,15,0.14033323043032278,0.021423672253849255,0.005531568390250939,15,0.9940005182473898,0.0016430899450495628,0.0004242439995665211,15,0.9445845292659713,0.03127181518585582,0.008074347961366385,15
20,8.0,0.0,0.0,15,10.0,0.0,0.0,15,157.73333333333332,10.138094119752113,2.6176446458722187,15,53790.62668204392,179329.11784888263,46302.57912791931,15,0.07060286790345756,0.0071402738510929695,0.0018436107808428913,15,0.10882930163919552,0.0217821091308622,0.005624116393940121,15,0.14009482543310964,0.008082470386240782,0.0020868848801416785,15,0.11228443928814034,0.019103907800978953,0.004932607784044896,15,0.9958373708027436,0.0009034794854927991,0.0002332774000635771,15,0.9612726326046446,0.023636309454277953,0.006102868858814895,15
30,8.0,0.0,0.0,15,10.0,0.0,0.0,15,240.66666666666666,8.164965809277259,2.1081851067789192,15,797.874227795506,3080.411150288799,795.3587389693434,15,0.06840674926663672,0.005929610700219637,0.0015310188994295969,15,0.08760616824932116,0.022579754945764235,0.005830067657759296,15,0.1367105379616019,0.0091666896956481,0.0023668291020730817,15,0.09454953834262995,0.018736318515055975,0.004837696638536632,15,0.9961096754065414,0.000894869894191843,0.00023105441314849343,15,0.9747951627208068,0.02164066840881689,0.005587596556542985,15
40,8.0,0.0,0.0,15,10.0,0.0,0.0,15,319.2,6.8368748081895685,1.7652734848148817,15,1.1597069192464413,3.2595395061535988,0.841609481575869,15,0.06609766138348411,0.005351255441730824,0.0013816882138083528,15,0.0702407784011463,0.019779575210317597,0.005107064358974475,15,0.13477228658557971,0.006367069257626915,0.0016439702132625507,15,0.0785202276982593,0.016757905035246684,0.004326872474589055,15,0.9963869796187883,0.0007177698489030363,0.00018532737808075157,15,0.9871393916845006,0.016314041292588725,0.00421226734903575,15
50,8.0,0.0,0.0,15,10.0,0.0,0.0,15,403.73333333333335,9.61744446800907,2.483213483844919,15,14.687164800717296,46.24816690194148,11.941225346922694,15,0.060966437234471586,0.0067284835017810815,0.001737286969841966,15,0.07142702120959792,0.02177005525817582,0.005621004097395344,15,0.12924151585124546,0.007070351680894848,0.0018255569541290244,15,0.07960007378850514,0.018372944855208618,0.004743873963000681,15,0.9969019606452247,0.0008359478120865698,0.0002158407969673208,15,0.9836480846101355,0.01777252746105286,0.004588846858444781,15
60,8.0,0.0,0.0,15,10.0,0.0,0.0,15,475.8666666666667,15.013644587824897,3.876506363634863,15,11.04280979256828,27.5962429309026,7.125319285951996,15,0.06355116371784424,0.0034907788808966507,0.0009013152314003528,15,0.06602168774804926,0.01239088265444284,0.0031993121443644984,15,0.12888496406180533,0.004927915560522063,0.001272382326494556,15,0.07514347469423793,0.010164535949647741,0.0026244718969941527,15,0.9965533915295899,0.0004969614128633626,0.00012831488504850077,15,0.9857595665899865,0.012422857161559645,0.00320756792660227,15
