setting,n_obs_nodes_mean,n_obs_nodes_std,n_obs_nodes_sem,n_obs_nodes_count,K_mean,K_std,K_sem,K_count,restarts_mean,restarts_std,restarts_sem,restarts_count,best_seed_mean,best_seed_std,best_seed_sem,best_seed_count,reconstruction_err_mean,reconstruction_err_std,reconstruction_err_sem,reconstruction_err_count,rel_exposure_err_max_mean,rel_exposure_err_max_std,rel_exposure_err_max_sem,rel_exposure_err_max_count,sig_tv_mean_mean,sig_tv_mean_std,sig_tv_mean_sem,sig_tv_mean_count,act_tv_median_mean,act_tv_median_std,act_tv_median_sem,act_tv_median_count,sig_hellinger_mean_mean,sig_hellinger_mean_std,sig_hellinger_mean_sem,sig_hellinger_mean_count,act_hellinger_median_mean,act_hellinger_median_std,act_hellinger_median_sem,act_hellinger_median_count,sig_cosine_mean_mean,sig_cosine_mean_std,sig_cosine_mean_sem,sig_cosine_mean_count,act_cosine_median_mean,act_cosine_median_std,act_cosine_median_sem,act_cosine_median_count
5,37.46666666666667,3.335237551331168,0.861154632796748,15,10.0,0.0,0.0,15,10.0,0.0,0.0,15,5.533333333333333,2.3563490726929555,0.6084067144260737,15,48.47645167207031,3.229428730893196,0.8338349128342069,15,252702268269.4757,978711651515.147,252702261803.8214,15,0.2560579985370949,0.034336840955995505,0.00886573421226289,15,0.3984594905501566,0.0801283404804485,0.020689048549334312,15,0.2709421049847019,0.02938384920150287,0.007586877240326048,15,0.44202103787888236,0.06449281610271526,0.016651973514388914,15,0.8404916607093134,0.03809323143914782,0.009835630064469619,15,0.7791808071789961,0.09249227853932822,0.023881403629039726,15
10,80.13333333333334,3.502380143083653,0.9043106644167025,15,10.0,0.0,0.0,15,10.0,0.0,0.0,15,4.866666666666666,3.41983012666391,0.882996341828515,15,78.71821241065638,2.571004511733207,0.6638305104644562,15,2578651.611995231,9883470.836032161,2551901.1967119505,15,0.19645333578754073,0.0410343849219862,0.010595032628314486,15,0.3255828004460492,0.08593201700688516,0.022187551384911915,15,0.2166578842596166,0.03228447249578533,0.008335814954484533,15,0.3852346041385939,0.0749239749758962,0.01934528715422048,15,0.8962432173583521,0.044159257929552116,0.011401871369468877,15,0.847064273458112,0.08487079323711103,0.02191354458578294,15
20,157.73333333333332,10.138094119752113,2.6176446458722187,15,10.0,0.0,0.0,15,10.0,0.0,0.0,15,5.6,2.667261838343906,0.6886840453253685,15,114.07230709609775,4.1521591247439575,1.0720828760624341,15,2233903.607578833,8061506.076061475,2081471.9185290663,15,0.15744604191440287,0.04174005347316298,0.010777235464757819,15,0.2935551288520804,0.07065215310760352,0.018242307490629668,15,0.18642160440546116,0.033255675347194376,0.008586578452437625,15,0.3642819596048076,0.06563553889475413,0.016947023270582128,15,0.9276929268509021,0.04223113094820469,0.010904031123593425,15,0.8872152355520242,0.055490235352314836,0.014327517159776362,15
30,240.66666666666666,8.164965809277259,2.1081851067789192,15,10.0,0.0,0.0,15,10.0,0.0,0.0,15,5.933333333333334,3.1274514194392182,0.8075044842373893,15,142.91059199213106,2.6073338194160236,0.6732106973734424,15,55981.8255347909,216247.53034196494,55834.87224486088,15,0.14149800359261763,0.041677101528663475,0.010760981342580621,15,0.27052690291916465,0.0595598775179792,0.015378294248619133,15,0.17312460104584068,0.03231805729634315,0.00834448651270094,15,0.34176466318339727,0.05939818075389936,0.015336544323658009,15,0.9414570562982952,0.041751022784988885,0.010780067728892557,15,0.900544708267084,0.04720905692394045,0.012189326083771953,15
40,319.2,6.8368748081895685,1.7652734848148817,15,10.0,0.0,0.0,15,10.0,0.0,0.0,15,4.4,2.02837021134844,0.5237229365663817,15,166.268453590837,2.317306857722683,0.5983260578674794,15,74.3851736638002,195.94233012536446,50.59209209284082,15,0.12068743422841301,0.039776553326277095,0.010270261906813495,15,0.26407277460484707,0.08488952343142628,0.021918380701159885,15,0.15443866061399264,0.03462997213026064,0.008941420356008428,15,0.32803888893809424,0.08286739360000965,0.021396269023763497,15,0.9583896772919902,0.036568992620164206,0.009442073293698526,15,0.9030673733458019,0.07270570547993757,0.018772532433203967,15
50,403.73333333333335,9.61744446800907,2.483213483844919,15,10.0,0.0,0.0,15,10.0,0.0,0.0,15,4.533333333333333,2.799659843283687,0.7228690632055591,15,187.24472688423702,2.5039766526497846,0.6465239916669874,15,1883.5470062793995,6578.504455911674,1698.5625467131467,15,0.12239107909369656,0.04103982320387253,0.010596436786659669,15,0.28369312553773424,0.08920733446053046,0.02303323471501263,15,0.15478040363747525,0.03143252168065157,0.008115842199897805,15,0.34426602798193534,0.08297447061833779,0.02142391619101326,15,0.9522063682488568,0.04083529470605211,0.01054362775560078,15,0.8942173076140154,0.08134854948529718,0.02100410515964573,15
60,475.8666666666667,15.013644587824897,3.876506363634863,15,10.0,0.0,0.0,15,10.0,0.0,0.0,15,3.6,2.797958439393164,0.7224297626100146,15,202.88124859116786,3.4251336964519346,0.8843657176594796,15,929.9267502607584,2183.6729574009332,563.8219331718208,15,0.11513978191282553,0.025092176716713127,0.006478772169594896,15,0.24701514679008219,0.052067480656694386,0.013443765697490279,15,0.14475896729272658,0.020741966981949213,0.005355552845911562,15,0.317210729681713,0.05130164791071571,0.013246028532746564,15,0.9584298345909402,0.024196734261271204,0.006247569921767319,15,0.9272416060401706,0.02885322933545973,0.0074498717800359215,15
