n_trees,max_rhat,min_ess,n_nodes,mean_cos,median_cos,mean_L1,median_L1
5,1.0,2259.0,32,0.986437571838913,0.9947145309170478,0.1901827442283569,0.1660893887983964
10,1.0,2520.0,66,0.9875416503286294,0.9943363964633688,0.1736298176981295,0.1487837221476951
15,1.0,3353.0,100,0.9864213910220684,0.9936533022779042,0.1698833926586155,0.1529300230889227
20,1.0,3100.0,130,0.9879573145141488,0.994797158077231,0.1805170053377551,0.1535204017819122
25,1.0,1825.0,164,0.995229021405905,0.9983068393669896,0.1032675696336672,0.0917994200425976
30,1.0,1603.0,198,0.992887113106278,0.9968110306877304,0.1336244238514676,0.1158378438642235
35,1.0,2231.0,228,0.9868535062751892,0.993041288525125,0.1830896677806226,0.1654840142566997
40,1.0,2489.0,256,0.9922559939213834,0.998091206231731,0.13692066763662655,0.11053881630615014
